ETL Name,Session Name,Session Seq,Mapping Name,Mapping Seq,Source Name,Source Seq,Target Name,Target Seq,Query Type,Tables Referred
wf_N_DYN_RESTMT_SLS_ADJ_UPLD.xml,s_m_N_DYN_RESTMT_SLS_ADJ_UPLD,1,m_N_DYN_RESTMT_SLS_ADJ_UPLD,1,SQ_W_DYN_RESTMT_SLS_ADJ_UPLD,1,N_DYN_RESTMT_SLS_ADJ_UPLD,1,Sql Query,$$WORKDB.W_DYN_RESTMT_SLS_ADJ_UPLD
wf_N_DYN_RESTMT_SLS_ADJ_UPLD.xml,s_m_N_DYN_RESTMT_SLS_ADJ_UPLD,1,m_N_DYN_RESTMT_SLS_ADJ_UPLD,1,SQ_W_DYN_RESTMT_SLS_ADJ_UPLD,1,N_DYN_RESTMT_SLS_ADJ_UPLD,1,Sql Query,$$SLSORDVWDB.N_DYN_RESTMT_SLS_ADJ_UPLD
wf_N_DYN_RESTMT_SLS_ADJ_UPLD.xml,s_m_N_DYN_RESTMT_SLS_ADJ_UPLD,1,m_N_DYN_RESTMT_SLS_ADJ_UPLD,1,SQ_W_DYN_RESTMT_SLS_ADJ_UPLD,1,N_DYN_RESTMT_SLS_ADJ_UPLD,1,TgtPost SQL,$$STGDB.ST_FIN_ADJ_UPLOAD_AUD
